serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,95.27,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97691,-28,-29,10,-0.5625,-1.25,-1,TRUE
11047,227.58,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.5,-0.9375,-1,TRUE
11047,228.59,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.6875,-1.125,-1,TRUE
11047,229.6,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.3125,-1.125,-1,TRUE
11047,230.61,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.4375,-1.125,-1,TRUE
11047,231.62,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.5625,-1.25,-1,TRUE
11047,232.63,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97675,-29,-29,10,-0.125,-1.25,-1,TRUE
11047,233.64,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97673,-29,-29,10,-0.6875,-1.25,-1,TRUE
11047,234.65,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,-0.5,-1.25,-1,TRUE
11047,235.66,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97673,-29,-29,10,-0.125,-1.0625,-1,TRUE
11047,236.67,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97673,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,237.68,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,-0.625,-1,-1,TRUE
11047,238.69,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,-0.625,-1.125,-1,TRUE
11047,239.7,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,-0.375,-1.0625,-1,TRUE
11047,241.72,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,0,-1.25,-1,TRUE
11047,242.73,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97673,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,243.74,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97672,-29,-29,10,-0.5625,-1.125,-1,TRUE
11047,244.75,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.1875,-1.0625,-1,TRUE
11047,245.76,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97672,-29,-29,10,-0.6875,-1.125,-1,TRUE
11047,246.77,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.5,-1.0625,-1,TRUE
11047,247.78,9,2,4.1,4.18,0.00 0.00 0.00 4.20,4.2,4.2,97672,-29,-29,10,-0.625,-1.0625,-1,TRUE
11047,248.79,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.75,-1.3125,-1,TRUE
11047,249.8,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97672,-29,-29,10,-0.1875,-1.125,-1,TRUE
11047,250.81,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.4375,-1.0625,-1,TRUE
11047,251.82,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.5,-0.75,-1,TRUE
11047,252.83,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97672,-29,-29,10,-0.75,-0.75,-1,TRUE
11047,253.84,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97672,-29,-29,10,-0.75,-0.875,-1,TRUE
11047,254.85,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97671,-29,-29,10,-0.5,-1.0625,0,TRUE
11047,255.86,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97671,-29,-29,10,-0.125,-1,0,TRUE
11047,256.87,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97671,-29,-29,10,-0.5625,-1,-1,TRUE
11047,267.98,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97669,-29,-29,10,-0.5625,-1.1875,-1,TRUE
11047,268.99,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.2,97669,-29,-29,10,-0.1875,-1.0625,-2,TRUE
11047,270,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97669,-29,-29,10,-0.125,-0.875,-1,TRUE
11047,272.02,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97669,-29,-29,10,-0.375,-0.9375,-1,TRUE
11047,273.03,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97669,-29,-29,10,-0.25,-1,-1,TRUE
11047,274.04,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97669,-29,-29,10,-0.125,-1,-1,TRUE
11047,275.05,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,0,-1,-1,TRUE
11047,276.06,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,-0.3125,-1,-1,TRUE
11047,277.07,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,-0.5625,-1.125,-1,TRUE
11047,278.08,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97667,-29,-29,10,-0.5625,-1.1875,-1,TRUE
11047,279.09,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97667,-29,-29,10,-0.375,-1.25,-2,TRUE
11047,280.1,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,-0.75,-1.25,-1,TRUE
11047,281.11,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97667,-29,-29,10,-0.375,-1.125,-2,TRUE
11047,282.12,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,-0.125,-1.0625,-1,TRUE
11047,283.13,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97667,-29,-29,10,-0.25,-1.125,-1,TRUE
11047,284.14,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97667,-29,-29,10,-0.75,-1.1875,-2,TRUE
11047,285.15,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97665,-29,-29,10,-0.375,-1.1875,-1,TRUE
11047,286.16,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.4375,-1.125,-1,TRUE
11047,287.17,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.3125,-1.125,-1,TRUE
11047,288.18,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97665,-29,-29,10,-0.3125,-1.0625,-1,TRUE
11047,289.19,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.4375,-1.0625,-1,TRUE
11047,290.2,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.14,97665,-29,-29,10,-0.3125,-1.0625,-1,TRUE
11047,291.21,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97665,-29,-29,10,-0.4375,-1.25,-1,TRUE
11047,292.22,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.6875,-1.25,-2,TRUE
11047,293.23,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.1875,-1.1875,-1,TRUE
11047,294.24,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97665,-29,-29,10,-0.1875,-1.125,-1,TRUE
11047,295.25,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.4375,-0.9375,-1,TRUE
11047,296.26,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.75,-1.125,-2,TRUE
11047,297.27,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.8125,-1.1875,-1,TRUE
11047,298.28,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.5625,-1.1875,-1,TRUE
11047,299.29,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.875,-1.125,-1,TRUE
11047,300.3,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.5,-1.1875,-1,TRUE
11047,301.31,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.1875,-1.125,-1,TRUE
11047,302.32,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.25,-1.1875,-1,TRUE
11047,303.33,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.25,-1.25,-1,TRUE
11047,304.34,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.0625,-1.0625,-1,TRUE
11047,305.35,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.4375,-1,-1,TRUE
11047,306.36,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.375,-0.875,-1,TRUE
11047,307.37,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.8125,-1,-1,TRUE
11047,308.38,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.4375,-1.125,-1,TRUE
11047,309.39,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.4375,-1.25,-1,TRUE
11047,310.4,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.625,-1.1875,-1,TRUE
11047,311.41,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.3125,-1,-1,TRUE
11047,312.42,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97664,-29,-29,10,-0.3125,-1,-1,TRUE
11047,313.43,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.125,-0.9375,-1,TRUE
11047,314.44,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.2,97664,-29,-29,10,-0.6875,-1,-1,TRUE
11047,315.45,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.125,-1,-1,TRUE
11047,316.46,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.3125,-1,-1,TRUE
11047,317.47,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.3125,-1,-1,TRUE
11047,318.48,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.625,-0.9375,-1,TRUE
11047,319.49,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.8125,-1.125,-1,TRUE
11047,320.5,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.1875,-1.0625,-1,TRUE
11047,321.51,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.625,-1.125,-1,TRUE
11047,322.52,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.5,-1,-1,TRUE
11047,323.53,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97661,-29,-29,10,-0.75,-1.125,-1,TRUE
11047,324.54,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.6875,-1,-1,TRUE
11047,325.55,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97661,-29,-29,10,-0.125,-0.9375,-1,TRUE
11047,326.56,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.9375,0,TRUE
11047,327.57,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.625,-1,0,TRUE
11047,328.58,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.9375,-1,TRUE
11047,329.59,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.125,-0.8125,0,TRUE
11047,330.6,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.5625,-1,0,TRUE
11047,331.61,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.4375,-1.0625,0,TRUE
11047,332.62,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.1875,-1.0625,0,TRUE
11047,333.63,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.625,-1,-1,TRUE
11047,334.64,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.25,-0.9375,0,TRUE
11047,335.65,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.75,-1.0625,0,TRUE
11047,336.66,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.125,-1.1875,-1,TRUE
11047,337.67,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1.3125,-1,TRUE
11047,338.68,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.3125,-1.1875,-1,TRUE
11047,339.69,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.6875,-1.1875,-1,TRUE
11047,340.7,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.375,-1.0625,-1,TRUE
11047,341.71,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5,-1.0625,-2,TRUE
11047,342.72,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1,-1,TRUE
11047,343.73,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.0625,-0.75,-1,TRUE
11047,344.74,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-0.8125,-1,TRUE
11047,345.75,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5,-0.875,-1,TRUE
11047,346.76,9,2,4.1,4.18,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.5625,-0.875,-2,TRUE
11047,347.77,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.8125,-1,-1,TRUE
11047,348.78,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,349.79,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.1875,-1.125,-2,TRUE
11047,350.8,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.2,97656,-29,-29,10,-0.625,-0.9375,-1,TRUE
11047,351.81,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.1875,-0.8125,-1,TRUE
11047,352.82,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.1875,-1,-2,TRUE
11047,353.83,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,354.84,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.375,-1.125,-2,TRUE
11047,355.85,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.6875,-1,-2,TRUE
11047,356.86,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.125,-1.0625,-1,TRUE
11047,357.87,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.625,-1.125,-1,TRUE
11047,358.88,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.375,-1.1875,-2,TRUE
11047,359.89,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.375,-1.1875,-1,TRUE
11047,360.9,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.1875,-1,-1,TRUE
11047,361.91,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.375,-0.875,-1,TRUE
11047,362.92,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-1,-1.0625,-2,TRUE
11047,363.93,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.1875,-1,-1,TRUE
11047,364.94,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.6875,-1,-1,TRUE
11047,365.95,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.3125,-1.0625,-1,TRUE
11047,366.96,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.375,-1,-1,TRUE
11047,367.97,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97657,-29,-29,10,-0.375,-1.0625,-1,TRUE
11047,368.98,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.375,-1.125,-1,TRUE
11047,369.99,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-1.125,-2,TRUE
11047,371,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-1.0625,-1,TRUE
11047,372.01,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,373.02,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.1875,-0.875,-1,TRUE
11047,374.03,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.8125,-1,-2,TRUE
11047,375.04,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-0.875,-1,TRUE
11047,376.05,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.125,-0.9375,-2,TRUE
11047,377.06,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-0.8125,-1,TRUE
11047,378.07,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.6875,-0.75,-1,TRUE
11047,379.08,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5625,-0.875,-2,TRUE
11047,380.09,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.3125,-0.8125,-1,TRUE
11047,381.1,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.75,-1,-1,TRUE
11047,382.11,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-1.0625,-2,TRUE
11047,383.12,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,0.125,-0.9375,-1,TRUE
11047,384.13,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.25,-0.875,-1,TRUE
11047,385.14,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-0.8125,-1,TRUE
11047,386.15,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.4375,-1,-2,TRUE
11047,387.16,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.5625,-1.0625,-1,TRUE
11047,388.17,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.14,4.14,97659,-29,-29,10,-0.6875,-1,-1,TRUE
11047,389.18,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.25,-0.9375,-1,TRUE
11047,390.19,9,2,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.75,-0.8125,-1,TRUE
11047,391.2,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.375,-0.75,0,TRUE
11047,392.21,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.25,-0.8125,0,TRUE
11047,393.22,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.5625,-0.875,0,TRUE
11047,394.23,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.6875,-0.9375,0,TRUE
11047,395.24,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.1875,-0.875,0,TRUE
11047,396.25,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.14,4.2,97659,-29,-29,10,-0.5,-0.8125,0,TRUE
11047,397.26,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.4375,-0.75,0,TRUE
11047,398.27,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.5,-1.0625,-1,TRUE
11047,399.28,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.25,-1.1875,-1,TRUE
11047,400.29,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,-0.125,-1.125,-2,TRUE
11047,401.3,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,402.31,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.2,97658,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,402.94,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,62.25,27.375,6,TRUE
